trip_id,trip_segmentno,segmentkey,segmentid,ev_kwh
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.8536682129000042
588,-1,-1,-1,0.0
588,-1,-1,-1,1.2195129394000048
588,-1,-1,-1,0.12194824220000555
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.9756088256000056
588,-1,-1,-1,0.24390411369999754
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.12194824219999136
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.4878082275999986
588,-1,-1,-1,0.0
588,-1,-1,-1,0.9756011963000047
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,2.6829223633000083
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.4877929687999938
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.1219635008999944
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
588,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,0.0
596,-1,-1,-1,2.5609817505000194
